kdkec,nmkec,kddesa,nmdesa,nmsls,idsls,latitude,longitude
070,TEGINENENG,002,GEDUNG GUMANTI,RT 019 DUSUN TALANG BARU,18090700020019,-5.158307879203613,105.15999422257038
070,TEGINENENG,002,GEDUNG GUMANTI,RT 005 DUSUN MARGODADI,18090700020005,-5.203224545182005,105.15568362526051
070,TEGINENENG,002,GEDUNG GUMANTI,RT 018 DUSUN ENGGAL MULYO,18090700020018,-5.172434156568978,105.15838211902883
070,TEGINENENG,002,GEDUNG GUMANTI,RT 017 DUSUN ENGGAL MULYO,18090700020017,-5.173608868659269,105.15834828302735
070,TEGINENENG,002,GEDUNG GUMANTI,RT 007 DUSUN JATIHARJO,18090700020007,-5.2038426450473345,105.14198581002103
070,TEGINENENG,002,GEDUNG GUMANTI,RT 011 DUSUN TALANG BESAR,18090700020011,-5.1790929764596205,105.14007956535738
070,TEGINENENG,001,KRESNO WIDODO,RT 011 DUSUN KRESNO BARU,18090700010011,-5.234370734694125,105.14786864991117
070,TEGINENENG,001,KRESNO WIDODO,RT 006 DUSUN KRESNO MULYO,18090700010006,-5.220640979950846,105.14522638558041
070,TEGINENENG,001,KRESNO WIDODO,RT 002 DUSUN KRESNO TUNGGAL,18090700010002,-5.213809799171567,105.14935677953079
070,TEGINENENG,001,KRESNO WIDODO,RT 014 DUSUN KRESNO AJI,18090700010014,-5.227350026041667,105.13320895833333
070,TEGINENENG,001,KRESNO WIDODO,RT 017 DUSUN KRESNO AJI,18090700010017,-5.22554410430907,105.12079214537219
070,TEGINENENG,001,KRESNO WIDODO,RT 015 DUSUN KRESNO AJI,18090700010015,-5.2258654117647065,105.12983168627449
070,TEGINENENG,001,KRESNO WIDODO,RT 020 DUSUN KRESNO AJI,18090700010020,-5.228736505866667,105.13761592766667
070,TEGINENENG,001,KRESNO WIDODO,RT 018 DUSUN KRESNO AJI,18090700010018,-5.229129179038462,105.12152345711539
070,TEGINENENG,001,KRESNO WIDODO,RT 016 DUSUN KRESNO AJI,18090700010016,-5.228486914470128,105.12547027194897
070,TEGINENENG,002,GEDUNG GUMANTI,RT 010 DUSUN WAY HINDIK,18090700020010,-5.181673646727017,105.1547139017223
070,TEGINENENG,001,KRESNO WIDODO,RT 005 DUSUN KRESNO MULYO,18090700010005,-5.216025032128308,105.1422314410475
070,TEGINENENG,001,KRESNO WIDODO,RT 012 DUSUN KRESNO BARU,18090700010012,-5.229876130849693,105.1435482006825
070,TEGINENENG,001,KRESNO WIDODO,RT 013 DUSUN KRESNO BARU,18090700010013,-5.2290669971477675,105.14021451659792
070,TEGINENENG,001,KRESNO WIDODO,RT 003 DUSUN KRESNO TUNGGAL,18090700010003,-5.216782731490939,105.15002577049992
070,TEGINENENG,001,KRESNO WIDODO,RT 019 DUSUN KRESNO AJI,18090700010019,-5.22572091228431,105.12584665074614
070,TEGINENENG,001,KRESNO WIDODO,RT 007 DUSUN KRESNO KRAJAN,18090700010007,-5.22394879670908,105.1438100928575
070,TEGINENENG,001,KRESNO WIDODO,RT 010 DUSUN KRESNO KRAJAN,18090700010010,-5.2239841886288945,105.13501017089916
070,TEGINENENG,004,BUMIAGUNG,RT 028 DUSUN KUNYAIAN RW 14,18090700040024,-5.163156436781609,105.18224126436783
070,TEGINENENG,001,KRESNO WIDODO,RT 008 DUSUN KRESNO KRAJAN,18090700010008,-5.223737133333641,105.14101624481498
070,TEGINENENG,001,KRESNO WIDODO,RT 009 DUSUN KRESNO KRAJAN,18090700010009,-5.221722349149755,105.14086833214739
060,NEGERI KATON,017,BANGUN SARI,RT 02 DUSUN 06,18090600170008,-5.213802839000103,105.07415567899645
060,NEGERI KATON,017,BANGUN SARI,RT 01 DUSUN 03,18090600170006,-5.211387743055556,105.07037010416667
060,NEGERI KATON,004,KALIREJO,RT 04 DUSUN 03 KAMULYAN,18090600040008,-5.333946666500429,105.10880234776103
060,NEGERI KATON,020,DESA PERSIAPAN PUJODADI,RT 02 DUSUN SAWANGAN,18090600200004,-5.258576207798039,105.06226902356228
060,NEGERI KATON,010,TRISNO MAJU,RT 02 DUSUN SARIREJO 1,18090600100010,-5.260821742737567,105.09296119262854
